"Age","Work_Experience","Family_Size","Segmentation","Gender (to number)","Ever_Married (to number)","Graduated (to number)","Profession (to number)","Spending_Score (to number)","Var_1 (to number)","Segmentation (to number)","ID"
69,0,2,"C",1,1,1,2,2,1,3,112
18,6,4,"D",0,0,0,0,0,0,0,113
50,1,2,"B",1,1,1,1,2,0,2,114
30,5,5,"A",0,0,0,5,0,1,1,115
39,3,4,"D",1,0,1,4,0,1,0,116
29,8,4,"D",1,0,0,8,0,1,0,117
37,4,4,"B",1,1,1,4,0,6,2,118
39,0,2,"A",1,1,1,1,1,1,1,119
48,0,5,"C",1,1,1,4,1,2,3,120
32,0,3,"C",1,0,1,6,0,1,3,121
43,0,5,"B",1,1,0,1,1,0,2,122
29,8,5,"C",0,0,0,8,0,1,3,123
28,9,2,"A",1,1,0,1,1,0,1,124
80,1,1,"B",0,1,1,2,0,1,2,125
28,7,4,"D",1,0,1,0,0,1,0,126
71,6,3,"C",0,1,1,4,1,1,3,127
67,0,9,"A",0,1,0,2,2,0,1,128
26,0,1,"A",1,0,0,1,0,5,1,129
47,0,2,"C",1,1,1,1,1,1,3,130
43,2,2,"B",1,1,1,4,1,1,2,131
27,0,4,"C",1,0,1,0,0,1,3,132
45,8,4,"D",1,1,1,8,0,1,0,133
76,1,1,"C",0,1,0,5,0,1,3,134
43,3,4,"C",1,1,1,4,1,1,3,135
78,1,2,"B",1,1,1,2,2,1,2,136
35,3,3,"C",0,1,1,4,1,1,3,137
49,1,1,"C",1,0,1,4,0,1,3,138
25,1,5,"D",1,0,1,0,0,1,0,139
37,0,5,"A",0,1,0,5,1,1,1,140
60,0,2,"C",0,1,1,6,1,1,3,141
45,5,3,"C",1,1,1,4,1,1,3,142
49,9,3,"C",1,1,1,7,1,1,3,143
32,0,5,"D",0,0,1,4,0,1,0,144
40,0,3,"B",1,1,1,4,0,3,2,145
59,2,2,"C",0,1,0,4,1,0,3,146
48,3,5,"B",0,1,1,4,0,1,2,147
82,0,2,"C",0,1,1,5,2,1,3,148
70,0,2,"B",1,1,1,2,0,1,2,149
31,5,2,"B",0,0,1,4,0,1,2,150
72,0,2,"C",1,1,1,2,2,1,3,151
50,3,4,"C",0,1,1,4,1,1,3,152
23,11,1,"D",1,0,0,1,0,3,0,153
20,2,6,"D",1,0,0,0,0,1,0,154
22,4,3,"D",1,0,0,0,0,1,0,155
31,8,1,"A",1,0,1,1,0,1,1,156
36,7,2,"C",1,1,1,4,1,1,3,157
40,4,4,"C",0,1,1,4,1,1,3,158
40,1,1,"A",1,0,1,4,0,1,1,159
21,1,3,"A",1,0,0,6,0,2,1,160
41,4,2,"D",1,1,0,1,1,1,0,161
40,0,2,"B",0,1,1,4,0,1,2,162
53,1,3,"B",0,1,1,4,1,1,2,163
42,5,2,"C",1,1,1,4,0,1,3,164
42,8,2,"D",0,1,0,5,0,1,0,165
59,7,2,"C",0,1,1,4,0,1,3,166
41,1,3,"A",0,1,1,5,1,1,1,167
31,0,2,"A",1,1,1,4,1,1,1,168
49,1,5,"B",1,1,1,4,2,1,2,169
67,1,2,"A",0,1,1,5,0,1,1,170
35,4,2,"B",0,1,0,4,1,1,2,171
26,0,3,"C",1,0,1,0,0,1,3,172
25,6,8,"D",1,1,0,1,1,0,0,173
39,4,2,"A",1,1,1,0,0,1,1,174
63,0,2,"A",0,1,1,3,0,1,1,175
23,8,3,"D",0,0,0,0,0,1,0,176
23,0,3,"D",1,0,0,0,0,3,0,177
53,2,1,"C",1,1,1,4,0,1,3,178
33,0,2,"B",0,0,1,6,0,1,2,179
69,0,2,"B",1,1,1,1,0,0,2,180
37,2,1,"B",0,0,1,4,0,1,2,181
20,3,4,"C",1,0,0,8,0,2,3,182
49,1,4,"C",1,1,1,6,1,1,3,183
18,0,3,"D",0,0,0,0,0,3,0,184
52,0,2,"C",1,1,1,6,1,1,3,185
28,0,2,"A",0,1,1,1,1,1,1,186
28,7,3,"A",1,0,1,4,0,1,1,187
20,0,5,"D",0,0,0,0,0,2,0,188
27,8,1,"D",1,0,0,7,0,3,0,189
45,4,4,"B",0,1,1,4,1,1,2,190
25,1,4,"B",0,0,1,0,0,0,2,191
40,1,1,"D",0,0,0,8,0,0,0,192
67,0,2,"B",1,1,1,2,2,1,2,193
38,9,1,"A",1,0,1,4,0,3,1,194
28,0,4,"C",0,0,0,0,0,5,3,195
32,1,5,"B",1,0,0,0,0,2,2,196
56,1,4,"B",1,1,0,2,2,0,2,197
53,1,2,"C",1,1,1,4,0,1,3,198
57,1,5,"C",0,1,0,5,2,1,3,199
59,0,3,"C",1,1,1,4,1,1,3,200
25,1,4,"A",1,1,1,0,2,0,1,201
59,0,6,"C",0,1,1,4,1,1,3,202
36,0,4,"C",1,1,1,4,0,1,3,203
37,7,2,"A",0,1,1,3,0,1,1,204
22,1,3,"D",0,0,0,6,0,5,0,205
43,1,2,"B",0,1,1,4,0,1,2,206
41,1,2,"A",0,1,1,4,0,0,1,207
21,0,5,"B",1,0,0,1,0,5,2,208
38,8,1,"B",0,0,1,6,0,5,2,209
70,1,3,"C",0,1,1,2,2,1,3,210
31,1,4,"B",1,0,0,1,0,1,2,211
82,0,2,"A",1,1,0,2,1,1,1,212
38,8,3,"A",0,0,1,4,0,5,1,213
18,0,4,"A",0,1,0,5,2,1,1,214
50,6,3,"C",0,1,1,4,1,1,3,215
72,1,3,"D",1,1,0,2,2,1,0,216
25,1,7,"B",1,0,0,7,0,0,2,217
75,2,2,"D",1,1,0,3,2,5,0,218
72,1,1,"B",0,0,1,4,0,1,2,219
72,0,3,"C",1,1,1,4,1,0,3,220
36,6,6,"A",0,1,1,3,0,0,1,221
40,1,2,"A",0,1,1,4,0,1,1,222
28,0,4,"C",1,0,1,3,0,1,3,223
28,0,3,"D",1,0,1,6,0,1,0,224
43,0,2,"B",0,1,1,4,0,0,2,225
35,1,2,"B",1,1,1,4,1,1,2,226
65,1,2,"B",0,1,1,2,2,1,2,227
52,7,4,"C",0,1,1,5,2,0,3,228
40,1,1,"B",1,0,1,4,0,1,2,229
69,9,3,"A",1,1,0,1,0,1,1,230
22,3,3,"D",1,0,0,0,0,1,0,231
47,1,4,"C",0,1,1,5,1,1,3,232
29,1,2,"A",0,1,1,8,2,3,1,233
46,1,3,"C",0,1,1,4,1,3,3,234
32,1,2,"A",0,0,1,4,0,1,1,235
38,0,1,"C",1,0,1,0,0,5,3,236
59,0,1,"B",0,1,1,4,0,1,2,237
26,1,1,"D",1,0,1,3,0,1,0,238
26,1,2,"A",0,0,1,0,0,3,1,239
28,0,1,"D",0,0,0,8,0,3,0,240
53,1,3,"C",1,1,1,1,1,1,3,241
27,1,3,"D",0,0,0,6,0,1,0,242
26,0,4,"D",0,0,0,1,0,0,0,243
31,0,2,"D",1,0,0,3,0,1,0,244
39,1,3,"B",0,1,1,5,2,3,2,245
43,1,3,"A",1,1,0,1,0,2,1,246
25,1,2,"A",0,1,0,6,0,4,1,247
40,3,3,"A",0,1,1,4,2,1,1,248
40,7,2,"B",1,1,1,3,1,3,2,249
27,1,3,"D",0,0,1,0,0,1,0,250
19,1,2,"D",1,0,0,0,0,1,0,251
86,0,2,"B",1,1,1,2,2,1,2,252
27,4,2,"C",1,1,1,4,1,3,3,253
70,0,2,"B",1,1,0,6,1,1,2,254
53,8,4,"B",1,1,0,1,1,0,2,255
43,0,4,"A",0,1,0,5,2,1,1,256
36,6,3,"A",0,1,0,6,0,1,1,257
74,0,2,"C",0,1,1,2,0,1,3,258
30,0,4,"D",1,0,0,7,0,1,0,259
37,5,2,"B",1,0,1,4,0,1,2,260
22,0,1,"B",1,0,0,8,0,6,2,261
70,4,2,"B",0,1,1,1,2,1,2,262
89,13,1,"A",0,1,1,2,0,1,1,263
25,6,1,"D",0,0,1,6,0,5,0,264
45,4,1,"A",1,0,1,4,0,3,1,265
35,3,1,"A",1,0,1,4,0,0,1,266
37,7,1,"D",1,1,0,1,0,0,0,267
39,4,2,"B",1,1,0,1,1,1,2,268
32,1,5,"D",1,0,1,0,0,0,0,269
62,2,3,"C",1,1,1,4,1,1,3,270
58,0,4,"B",1,1,1,1,1,0,2,271
25,0,5,"C",0,0,0,0,0,1,3,272
56,0,4,"C",1,1,1,4,1,1,3,273
36,10,2,"A",1,0,1,3,0,1,1,274
30,8,3,"A",1,0,0,0,0,1,1,275
19,1,5,"D",0,0,0,0,0,1,0,276
27,0,2,"A",0,0,1,0,0,1,1,277
38,14,1,"A",1,0,1,6,0,1,1,278
46,8,2,"C",0,1,1,4,1,1,3,279
29,3,1,"B",0,0,1,4,0,1,2,280
51,1,4,"B",0,1,0,3,1,2,2,281
55,0,1,"A",0,1,0,4,0,1,1,282
69,1,1,"A",1,1,1,1,0,3,1,283
26,1,8,"C",1,0,0,0,0,2,3,284
83,0,3,"A",1,1,1,2,0,1,1,285
39,9,1,"D",1,0,1,0,0,1,0,286
35,9,1,"A",0,1,1,4,0,1,1,287
19,2,5,"C",0,1,0,8,2,1,3,288
29,1,3,"B",1,0,0,0,0,1,2,289
26,0,1,"D",1,0,0,6,0,1,0,290
36,8,1,"A",0,0,1,1,0,1,1,291
22,0,4,"D",1,0,0,7,0,1,0,292
19,0,5,"A",0,0,0,8,0,1,1,293
20,1,3,"A",1,1,1,2,1,3,1,294
43,3,3,"D",0,0,1,0,0,1,0,295
43,1,2,"A",0,0,1,3,0,0,1,296
50,4,3,"B",1,1,1,1,2,1,2,297
25,1,2,"A",0,0,1,3,0,1,1,298
61,1,2,"B",0,1,0,4,2,1,2,299
28,0,2,"A",1,1,1,0,1,1,1,300
38,1,1,"D",0,0,1,4,0,1,0,301
25,12,3,"A",0,0,0,5,0,1,1,302
18,9,5,"D",1,0,0,0,0,0,0,303
43,1,5,"C",0,1,1,3,1,6,3,304
27,8,1,"B",1,0,1,4,0,1,2,305
60,1,2,"D",1,0,1,3,0,1,0,306
75,2,1,"D",0,1,1,2,0,1,0,307
23,6,4,"D",0,0,0,6,0,5,0,308
36,8,1,"A",0,0,1,4,0,1,1,309
30,1,1,"C",0,0,0,6,0,3,3,310
56,1,2,"C",0,1,0,4,1,1,3,311
52,2,2,"C",1,1,1,4,0,1,3,312
39,0,1,"D",0,1,1,3,0,1,0,313
35,5,1,"A",1,0,0,4,0,1,1,314
33,0,2,"B",0,1,0,1,1,1,2,315
25,0,6,"A",1,0,1,4,0,1,1,316
27,0,2,"B",1,1,1,4,1,0,2,317
35,1,3,"A",0,1,1,4,2,1,1,318
41,1,2,"C",1,1,1,4,1,1,3,319
46,8,2,"B",1,1,0,4,1,1,2,320
26,9,1,"A",1,0,1,4,0,1,1,321
43,13,2,"B",0,1,1,6,2,1,2,322
30,8,4,"A",1,1,1,4,0,1,1,323
70,1,4,"C",1,1,1,4,1,1,3,324
89,3,1,"D",1,1,0,2,2,1,0,325
42,6,4,"B",1,1,0,7,2,1,2,326
37,6,3,"A",1,1,1,3,1,0,1,327
29,1,3,"D",0,1,0,5,1,1,0,328
68,1,2,"C",1,1,1,4,2,1,3,329
25,1,1,"D",1,0,0,1,0,0,0,330
48,0,2,"C",1,1,1,6,0,1,3,331
51,1,3,"C",1,1,1,6,1,4,3,332
40,1,5,"B",1,1,1,1,2,5,2,333
47,0,6,"B",0,1,1,4,1,2,2,334
35,1,4,"C",0,1,1,5,1,1,3,335
19,2,3,"D",1,0,0,0,0,1,0,336
46,0,3,"B",0,1,1,3,1,0,2,337
86,0,1,"B",0,1,1,2,0,1,2,338
66,0,2,"B",0,1,1,4,2,1,2,339
42,1,5,"D",0,0,0,8,0,0,0,340
73,1,2,"B",1,1,1,2,2,1,2,341
72,1,1,"A",0,1,0,1,0,1,1,342
53,0,3,"B",0,1,1,4,0,1,2,343
39,8,2,"C",1,1,1,4,1,1,3,344
27,9,1,"D",1,0,0,7,0,1,0,345
23,1,3,"D",1,0,0,0,0,0,0,346
30,0,4,"B",1,0,1,3,0,1,2,347
39,5,2,"C",1,1,1,4,1,1,3,348
26,1,3,"B",0,1,1,4,1,1,2,349
50,7,3,"A",1,1,1,3,0,1,1,350
45,1,2,"C",1,1,1,4,1,1,3,351
62,2,1,"A",1,0,0,3,0,1,1,352
27,1,3,"A",1,0,1,6,0,1,1,353
30,1,7,"A",1,1,0,1,1,0,1,354
32,7,4,"A",0,0,0,0,0,3,1,355
47,3,3,"B",0,0,0,4,0,6,2,356
32,4,4,"A",1,0,1,4,0,5,1,357
32,5,3,"A",1,1,0,1,0,4,1,358
67,1,4,"B",0,1,1,6,1,1,2,359
77,0,2,"C",1,1,1,2,2,1,3,360
31,1,1,"A",0,0,0,3,0,0,1,361
42,0,3,"A",0,1,1,4,0,0,1,362
50,1,4,"C",0,1,1,4,1,5,3,363
71,0,5,"C",0,1,1,4,1,1,3,364
72,1,3,"A",1,1,0,2,0,1,1,365
45,9,2,"C",0,1,1,4,1,1,3,366
40,9,5,"A",1,0,0,1,0,0,1,367
36,4,1,"A",1,0,1,1,0,1,1,368
30,4,4,"D",0,0,0,0,0,1,0,369
29,2,4,"B",1,0,1,0,0,0,2,370
28,0,5,"D",0,0,1,1,0,0,0,371
40,1,2,"C",1,1,1,4,1,1,3,372
52,14,2,"C",1,1,1,4,1,1,3,373
26,6,6,"D",0,0,0,4,0,6,0,374
55,3,1,"B",1,0,1,8,0,1,2,375
20,4,4,"D",1,0,0,6,0,1,0,376
87,0,2,"C",1,1,1,2,2,1,3,377
28,0,2,"A",0,0,0,0,0,0,1,378
38,2,2,"A",0,0,0,4,0,3,1,379
42,1,2,"B",0,1,0,3,0,0,2,380
42,0,6,"A",0,1,0,8,2,0,1,381
29,1,4,"D",1,0,0,1,0,1,0,382
32,0,4,"A",0,0,1,6,0,1,1,383
59,1,2,"C",1,1,0,4,2,1,3,384
22,0,2,"D",0,0,0,0,0,3,0,385
78,1,2,"C",1,1,1,4,2,1,3,386
32,0,3,"A",1,0,1,0,0,0,1,387
37,0,4,"C",0,1,1,4,1,2,3,388
37,1,4,"B",0,1,1,0,2,1,2,389
47,0,4,"B",0,1,0,4,2,1,2,390
68,0,2,"A",1,1,1,2,2,1,1,391
30,3,5,"C",0,0,1,0,0,4,3,392
48,2,1,"A",1,1,1,3,0,4,1,393
43,6,1,"C",1,0,1,4,0,1,3,394
33,9,2,"D",0,1,1,0,0,1,0,395
31,0,5,"D",0,1,0,0,1,0,0,396
32,1,2,"D",0,1,1,0,0,1,0,397
21,1,4,"D",1,0,0,0,0,5,0,398
29,2,4,"D",1,0,0,7,0,3,0,399
35,1,2,"A",1,1,1,4,0,0,1,400
46,0,3,"A",0,1,0,4,0,0,1,401
38,9,2,"B",1,1,1,4,2,5,2,402
32,1,3,"C",1,0,1,0,0,1,3,403
28,3,7,"A",1,0,1,4,0,5,1,404
68,3,1,"A",1,1,1,2,0,1,1,405
45,4,1,"C",1,1,1,4,0,1,3,406
58,0,3,"C",0,1,1,4,1,2,3,407
28,1,2,"A",0,0,0,3,0,2,1,408
32,12,3,"A",1,0,0,0,0,1,1,409
30,1,1,"B",0,0,1,6,0,3,2,410
42,3,4,"D",1,1,0,7,1,1,0,411
18,6,4,"D",1,0,0,0,0,2,0,412
29,8,3,"D",1,1,1,0,0,3,0,413
33,0,3,"A",1,0,1,0,0,1,1,414
57,1,2,"A",1,1,1,6,0,2,1,415
36,1,3,"D",0,1,1,5,0,1,0,416
57,1,3,"C",0,1,1,5,2,1,3,417
18,1,2,"D",0,0,0,0,0,1,0,418
52,1,6,"C",0,1,1,4,1,1,3,419
37,0,2,"B",1,1,1,3,1,4,2,420
36,0,1,"A",0,0,1,8,0,1,1,421
29,9,3,"A",1,0,1,0,0,0,1,422
45,1,4,"C",0,1,1,4,1,3,3,423
61,0,1,"B",0,0,1,4,0,1,2,424
52,1,4,"A",0,1,1,3,1,1,1,425
49,14,1,"A",1,1,1,7,0,1,1,426
31,1,5,"C",1,0,0,0,0,0,3,427
42,1,3,"A",0,1,0,3,0,0,1,428
51,1,5,"C",0,1,1,1,1,1,3,429
42,8,1,"D",1,0,1,0,0,2,0,430
29,1,4,"C",0,0,1,6,0,1,3,431
33,8,1,"A",1,0,1,0,0,0,1,432
21,0,4,"D",1,0,0,0,0,5,0,433
35,9,3,"B",0,1,0,4,1,1,2,434
42,0,1,"A",1,0,1,6,0,1,1,435
41,2,1,"C",1,0,1,4,0,1,3,436
39,0,3,"B",0,0,1,4,0,1,2,437
28,14,1,"A",1,0,0,6,0,1,1,438
61,1,2,"B",1,1,1,6,1,1,2,439
62,0,4,"C",0,1,1,4,1,1,3,440
65,1,2,"C",0,1,1,3,1,1,3,441
45,1,2,"A",0,1,1,6,1,3,1,442
26,9,2,"B",1,1,1,1,0,1,2,443
25,4,5,"C",1,0,1,4,0,1,3,444
45,1,4,"C",1,1,1,4,1,2,3,445
43,0,4,"B",0,1,0,5,2,1,2,446
49,1,3,"C",0,1,1,5,2,1,3,447
55,1,2,"C",0,1,1,4,1,1,3,448
37,3,1,"B",1,0,1,4,0,1,2,449
65,1,2,"C",0,1,1,3,2,1,3,450
39,0,3,"A",1,0,0,1,0,0,1,451
40,2,2,"C",1,1,1,4,1,1,3,452
72,1,3,"C",0,1,1,3,1,1,3,453
38,5,1,"B",1,0,0,7,0,5,2,454
26,0,5,"D",0,0,0,8,0,1,0,455
30,1,3,"D",0,0,1,6,0,0,0,456
57,1,4,"A",0,0,1,8,0,2,1,457
31,1,1,"D",1,0,1,0,0,1,0,458
39,0,1,"A",0,0,1,4,0,1,1,459
30,0,4,"A",1,0,0,1,0,0,1,460
43,0,3,"A",1,1,0,4,1,0,1,461
27,8,1,"C",0,0,1,0,0,3,3,462
46,0,4,"C",1,1,0,4,1,3,3,463
43,1,2,"B",0,1,0,4,0,1,2,464
28,8,4,"D",0,1,0,3,1,2,0,465
43,9,1,"D",0,0,1,3,0,1,0,466
28,1,3,"D",1,0,1,0,0,1,0,467
58,4,2,"D",0,0,0,0,0,1,0,468
38,8,4,"A",1,0,1,1,0,1,1,469
31,1,4,"D",1,0,1,4,0,1,0,470
32,4,5,"D",0,1,0,5,1,0,0,471
45,4,4,"C",0,1,1,4,1,1,3,472
66,1,3,"A",0,1,1,4,0,1,1,473
51,1,3,"C",1,1,1,4,1,1,3,474
46,11,5,"C",0,1,1,4,1,1,3,475
20,1,6,"D",0,0,0,0,0,0,0,476
84,1,2,"C",1,1,0,2,2,1,3,477
57,8,5,"A",0,1,1,3,1,5,1,478
33,0,1,"A",1,0,0,6,0,1,1,479
25,3,3,"D",0,0,0,8,0,6,0,480
77,1,1,"C",0,1,1,2,0,1,3,481
30,1,2,"A",0,1,1,0,0,1,1,482
23,6,5,"D",0,0,0,0,0,0,0,483
43,2,4,"B",1,0,1,4,0,1,2,484
39,5,1,"A",0,0,1,3,0,1,1,485
29,1,2,"D",0,1,0,5,2,1,0,486
45,2,2,"D",1,1,0,1,0,1,0,487
48,2,2,"D",0,1,0,5,2,5,0,488
27,0,4,"A",0,1,0,3,1,1,1,489
60,9,4,"B",1,1,0,3,0,3,2,490
45,4,3,"B",0,1,1,3,1,5,2,491
33,1,4,"C",0,0,0,6,0,0,3,492
51,8,5,"A",0,1,1,4,0,1,1,493
67,2,1,"C",0,1,0,5,2,1,3,494
38,9,2,"C",0,1,1,4,1,1,3,495
40,0,1,"C",1,0,1,6,0,1,3,496
45,5,2,"B",1,1,1,4,1,1,2,497
48,0,4,"C",0,1,1,4,1,1,3,498
69,0,2,"C",1,1,0,2,1,1,3,499
21,9,5,"D",0,0,0,0,0,1,0,500
72,0,3,"C",0,1,1,4,0,0,3,501
21,1,5,"D",1,0,0,8,0,0,0,502
48,1,1,"A",1,1,1,4,0,0,1,503
28,1,5,"D",0,0,0,0,0,0,0,504
55,1,2,"A",0,1,1,3,0,1,1,505
56,0,2,"C",1,0,1,4,0,1,3,506
50,1,2,"C",0,1,1,6,0,1,3,507
21,1,4,"D",0,0,0,0,0,1,0,508
18,0,6,"D",0,0,0,0,0,1,0,509
68,0,2,"B",0,1,1,2,2,1,2,510
47,13,1,"C",0,1,1,4,0,1,3,511
75,1,2,"B",0,1,0,2,2,1,2,512
50,3,4,"C",0,1,1,4,1,5,3,513
31,0,4,"D",0,0,1,0,0,1,0,514
30,0,3,"A",1,0,1,4,0,1,1,515
41,0,4,"A",1,1,1,4,0,1,1,516
35,2,1,"A",1,1,0,0,0,1,1,517
37,0,1,"D",0,1,1,0,0,1,0,518
50,0,3,"C",0,1,1,6,1,1,3,519
36,0,2,"C",0,1,1,4,1,1,3,520
26,3,3,"A",1,0,0,8,0,3,1,521
22,0,4,"D",0,0,0,0,0,0,0,522
19,0,3,"D",1,0,0,0,0,1,0,523
45,0,5,"C",1,1,1,4,1,1,3,524
31,0,4,"D",1,0,0,6,0,1,0,525
56,0,3,"C",0,1,1,4,1,0,3,526
25,1,3,"B",1,0,1,0,0,1,2,527
73,1,1,"B",1,1,1,2,0,1,2,528
62,1,4,"C",0,1,1,6,1,3,3,529
46,0,3,"A",0,1,0,3,1,1,1,530
25,1,2,"A",0,1,1,5,2,1,1,531
27,1,2,"A",0,0,1,8,0,3,1,532
87,1,2,"A",0,1,0,5,0,1,1,533
47,0,1,"A",1,1,1,4,0,4,1,534
57,1,4,"C",0,1,1,4,1,1,3,535
60,0,4,"A",0,1,1,4,1,3,1,536
28,2,3,"D",0,0,1,0,0,1,0,537
39,4,3,"C",0,0,1,6,0,1,3,538
47,9,1,"D",1,0,1,8,0,1,0,539
69,0,3,"A",0,1,1,4,1,1,1,540
42,0,1,"D",1,0,1,4,0,1,0,541
46,1,1,"D",1,1,1,1,0,1,0,542
23,3,3,"C",1,0,0,8,0,1,3,543
45,1,5,"C",0,0,1,4,0,1,3,544
38,1,4,"B",1,1,1,6,1,1,2,545
71,1,3,"D",1,1,0,2,2,1,0,546
26,0,2,"D",1,0,0,6,0,1,0,547
60,8,2,"C",1,1,1,4,2,1,3,548
46,1,2,"C",1,1,1,4,1,1,3,549
39,1,4,"C",0,1,1,3,1,3,3,550
18,1,3,"D",1,0,0,0,0,1,0,551
26,1,2,"A",0,1,1,6,1,2,1,552
