"ID","Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","Var_1","Segmentation"
104,"Male","No",86,"No","Lawyer",1,"Low",1,"Cat_6","D"
105,"Male","No",25,"No","Healthcare",9,"Low",3,"Cat_6","D"
106,"Male","Yes",59,"Yes","Entertainment",3,"Low",4,"Cat_4","A"
107,"Female","No",39,"Yes","Artist",0,"Low",1,"Cat_6","A"
108,"Female","Yes",50,"Yes","Doctor",1,"Low",3,"Cat_6","B"
109,"Male","No",47,"Yes","Artist",1,"Low",1,"Cat_6","C"
110,"Male","Yes",43,"Yes","Executive",0,"High",3,"Cat_6","D"
111,"Male","Yes",36,"No","Executive",8,"Average",4,"Cat_1","B"
112,"Male","Yes",80,"No","Lawyer",1,"Low",1,"Cat_6","D"
113,"Male","No",36,"Yes","Artist",0,"Low",2,"Cat_2","C"
114,"Female","Yes",37,"Yes","Artist",1,"High",2,"Cat_7","A"
115,"Male","Yes",46,"Yes","Executive",0,"High",3,"Cat_6","C"
116,"Male","Yes",55,"No","Executive",1,"High",4,"Cat_3","B"
117,"Female","Yes",47,"No","Engineer",9,"Average",4,"Cat_4","B"
118,"Female","No",28,"Yes","Healthcare",1,"Low",3,"Cat_3","D"
119,"Male","Yes",39,"No","Entertainment",9,"Low",2,"Cat_3","D"
120,"Female","Yes",27,"No","Marketing",1,"Low",2,"Cat_6","A"
121,"Female","Yes",42,"No","Engineer",0,"Low",3,"Cat_6","A"
122,"Male","Yes",72,"Yes","Artist",0,"Average",2,"Cat_6","C"
123,"Female","Yes",28,"Yes","Engineer",0,"Low",2,"Cat_6","A"
124,"Male","No",35,"Yes","Entertainment",8,"Low",5,"Cat_6","C"
125,"Male","Yes",39,"Yes","Executive",9,"High",5,"Cat_2","A"
126,"Female","Yes",69,"Yes","Lawyer",0,"High",2,"Cat_6","C"
127,"Male","No",18,"No","Healthcare",6,"Low",4,"Cat_4","D"
128,"Male","Yes",46,"Yes","Artist",3,"Low",1,"Cat_6","A"
129,"Female","Yes",50,"Yes","Engineer",1,"High",2,"Cat_4","B"
130,"Male","No",30,"No","Executive",5,"Low",5,"Cat_6","A"
131,"Female","No",41,"No","Artist",3,"Low",2,"Cat_6","B"
132,"Female","No",39,"Yes","Artist",3,"Low",4,"Cat_6","D"
133,"Female","No",29,"No","Marketing",8,"Low",4,"Cat_6","D"
134,"Female","Yes",37,"Yes","Artist",4,"Low",4,"Cat_5","B"
135,"Female","Yes",39,"Yes","Engineer",0,"Average",2,"Cat_6","A"
136,"Female","Yes",48,"Yes","Artist",0,"Average",5,"Cat_7","C"
137,"Female","No",32,"Yes","Doctor",0,"Low",3,"Cat_6","C"
138,"Male","Yes",78,"No","Lawyer",1,"Low",3,"Cat_6","B"
139,"Female","Yes",43,"No","Engineer",0,"Average",5,"Cat_4","B"
140,"Male","No",29,"No","Marketing",8,"Low",5,"Cat_6","C"
141,"Female","Yes",28,"No","Engineer",9,"Average",2,"Cat_4","A"
142,"Male","Yes",80,"Yes","Lawyer",1,"Low",1,"Cat_6","B"
143,"Female","No",28,"Yes","Healthcare",7,"Low",4,"Cat_6","D"
144,"Male","Yes",71,"Yes","Artist",6,"Average",3,"Cat_6","C"
145,"Male","Yes",67,"No","Lawyer",0,"High",9,"Cat_4","A"
146,"Female","No",26,"No","Engineer",0,"Low",1,"Cat_2","A"
147,"Female","Yes",47,"Yes","Engineer",0,"Average",2,"Cat_6","C"
148,"Female","Yes",43,"Yes","Artist",2,"Average",2,"Cat_6","B"
149,"Female","No",27,"Yes","Healthcare",0,"Low",4,"Cat_6","C"
150,"Female","Yes",45,"Yes","Marketing",8,"Low",4,"Cat_6","D"
151,"Male","Yes",76,"No","Executive",1,"Low",1,"Cat_6","C"
152,"Female","Yes",43,"Yes","Artist",3,"Average",4,"Cat_6","C"
153,"Female","Yes",78,"Yes","Lawyer",1,"High",2,"Cat_6","B"
154,"Male","Yes",35,"Yes","Artist",3,"Average",3,"Cat_6","C"
155,"Female","No",49,"Yes","Artist",1,"Low",1,"Cat_6","C"
156,"Female","No",25,"Yes","Healthcare",1,"Low",5,"Cat_6","D"
157,"Male","Yes",37,"No","Executive",0,"Average",5,"Cat_6","A"
158,"Male","Yes",60,"Yes","Doctor",0,"Average",2,"Cat_6","C"
159,"Female","Yes",45,"Yes","Artist",5,"Average",3,"Cat_6","C"
160,"Female","Yes",49,"Yes","Homemaker",9,"Average",3,"Cat_6","C"
161,"Male","No",32,"Yes","Artist",0,"Low",5,"Cat_6","D"
162,"Female","Yes",40,"Yes","Artist",0,"Low",3,"Cat_3","B"
163,"Male","Yes",59,"No","Artist",2,"Average",2,"Cat_4","C"
164,"Male","Yes",48,"Yes","Artist",3,"Low",5,"Cat_6","B"
165,"Male","Yes",82,"Yes","Executive",0,"High",2,"Cat_6","C"
166,"Female","Yes",70,"Yes","Lawyer",0,"Low",2,"Cat_6","B"
167,"Male","No",31,"Yes","Artist",5,"Low",2,"Cat_6","B"
168,"Female","Yes",72,"Yes","Lawyer",0,"High",2,"Cat_6","C"
169,"Male","Yes",50,"Yes","Artist",3,"Average",4,"Cat_6","C"
170,"Female","No",23,"No","Engineer",11,"Low",1,"Cat_3","D"
171,"Female","No",20,"No","Healthcare",2,"Low",6,"Cat_6","D"
172,"Female","No",22,"No","Healthcare",4,"Low",3,"Cat_6","D"
173,"Female","No",31,"Yes","Engineer",8,"Low",1,"Cat_6","A"
174,"Female","Yes",36,"Yes","Artist",7,"Average",2,"Cat_6","C"
175,"Male","Yes",52,"No","Entertainment",3,"Average",5,"Cat_4","B"
176,"Female","No",29,"Yes","Artist",3,"Low",1,"Cat_4","B"
177,"Male","Yes",40,"Yes","Artist",4,"Average",4,"Cat_6","C"
178,"Female","No",40,"Yes","Artist",1,"Low",1,"Cat_6","A"
179,"Male","Yes",38,"Yes","Artist",3,"Low",2,"Cat_6","C"
180,"Female","No",21,"No","Doctor",1,"Low",3,"Cat_7","A"
181,"Female","Yes",41,"No","Engineer",4,"Average",2,"Cat_6","D"
182,"Male","Yes",40,"Yes","Artist",0,"Low",2,"Cat_6","B"
183,"Male","Yes",53,"Yes","Artist",1,"Average",3,"Cat_6","B"
184,"Female","Yes",42,"Yes","Artist",5,"Low",2,"Cat_6","C"
185,"Male","Yes",42,"No","Executive",8,"Low",2,"Cat_6","D"
186,"Male","Yes",48,"Yes","Artist",3,"Average",4,"Cat_7","C"
187,"Male","Yes",59,"Yes","Artist",7,"Low",2,"Cat_6","C"
188,"Male","Yes",41,"Yes","Executive",1,"Average",3,"Cat_6","A"
189,"Female","Yes",31,"Yes","Artist",0,"Average",2,"Cat_6","A"
190,"Female","Yes",49,"Yes","Artist",1,"High",5,"Cat_6","B"
191,"Male","Yes",67,"Yes","Executive",1,"Low",2,"Cat_6","A"
192,"Male","Yes",35,"No","Artist",4,"Average",2,"Cat_6","B"
193,"Female","No",26,"Yes","Healthcare",0,"Low",3,"Cat_6","C"
194,"Female","Yes",25,"No","Engineer",6,"Average",8,"Cat_4","D"
195,"Female","Yes",39,"Yes","Healthcare",4,"Low",2,"Cat_6","A"
196,"Male","Yes",63,"Yes","Entertainment",0,"Low",2,"Cat_6","A"
197,"Male","No",23,"No","Healthcare",8,"Low",3,"Cat_6","D"
198,"Female","No",23,"No","Healthcare",0,"Low",3,"Cat_3","D"
199,"Female","Yes",53,"Yes","Artist",2,"Low",1,"Cat_6","C"
200,"Male","No",33,"Yes","Doctor",0,"Low",2,"Cat_6","B"
201,"Female","Yes",50,"No","Engineer",3,"Average",4,"Cat_2","B"
202,"Female","Yes",69,"Yes","Engineer",0,"Low",2,"Cat_4","B"
203,"Male","No",37,"Yes","Artist",2,"Low",1,"Cat_6","B"
204,"Female","No",20,"No","Marketing",3,"Low",4,"Cat_7","C"
205,"Female","Yes",49,"Yes","Doctor",1,"Average",4,"Cat_6","C"
206,"Male","No",18,"No","Healthcare",0,"Low",3,"Cat_3","D"
207,"Female","Yes",52,"Yes","Doctor",0,"Average",2,"Cat_6","C"
208,"Male","Yes",25,"No","Doctor",3,"Average",2,"Cat_4","B"
209,"Male","Yes",56,"No","Executive",3,"High",2,"Cat_6","A"
210,"Male","Yes",28,"Yes","Engineer",0,"Average",2,"Cat_6","A"
211,"Female","No",28,"Yes","Artist",7,"Low",3,"Cat_6","A"
212,"Male","No",20,"No","Healthcare",0,"Low",5,"Cat_7","D"
213,"Female","No",27,"No","Homemaker",8,"Low",1,"Cat_3","D"
214,"Female","No",56,"No","Engineer",3,"Low",1,"Cat_6","A"
215,"Male","Yes",45,"Yes","Artist",4,"Average",4,"Cat_6","B"
216,"Male","No",25,"Yes","Healthcare",1,"Low",4,"Cat_4","B"
217,"Male","No",40,"No","Marketing",1,"Low",1,"Cat_4","D"
218,"Female","Yes",25,"Yes","Healthcare",3,"Low",2,"Cat_6","D"
219,"Female","Yes",74,"No","Lawyer",3,"High",2,"Cat_6","D"
220,"Female","Yes",67,"Yes","Lawyer",0,"High",2,"Cat_6","B"
221,"Female","No",38,"Yes","Artist",9,"Low",1,"Cat_3","A"
222,"Male","No",28,"No","Healthcare",0,"Low",4,"Cat_2","C"
223,"Female","No",32,"No","Healthcare",1,"Low",5,"Cat_7","B"
224,"Female","Yes",56,"No","Lawyer",1,"High",4,"Cat_4","B"
225,"Female","Yes",53,"Yes","Artist",1,"Low",2,"Cat_6","C"
226,"Male","Yes",57,"No","Executive",1,"High",5,"Cat_6","C"
227,"Female","Yes",59,"Yes","Artist",0,"Average",3,"Cat_6","C"
228,"Female","Yes",25,"Yes","Healthcare",1,"High",4,"Cat_4","A"
229,"Male","Yes",59,"Yes","Artist",0,"Average",6,"Cat_6","C"
230,"Female","Yes",36,"Yes","Artist",0,"Low",4,"Cat_6","C"
231,"Male","Yes",37,"Yes","Entertainment",7,"Low",2,"Cat_6","A"
232,"Male","No",22,"No","Doctor",1,"Low",3,"Cat_2","D"
233,"Male","Yes",43,"Yes","Artist",1,"Low",2,"Cat_6","B"
234,"Male","Yes",41,"Yes","Artist",1,"Low",2,"Cat_4","A"
235,"Female","No",21,"No","Engineer",0,"Low",5,"Cat_2","B"
236,"Female","No",49,"No","Engineer",1,"Low",3,"Cat_7","A"
237,"Male","No",38,"Yes","Doctor",8,"Low",1,"Cat_2","B"
238,"Male","Yes",47,"No","Artist",3,"Average",4,"Cat_6","A"
239,"Male","Yes",70,"Yes","Lawyer",1,"High",3,"Cat_6","C"
240,"Female","No",31,"No","Engineer",1,"Low",4,"Cat_6","B"
241,"Female","Yes",82,"No","Lawyer",0,"Average",2,"Cat_6","A"
242,"Female","Yes",51,"No","Executive",3,"Low",1,"Cat_6","A"
243,"Female","No",42,"No","Homemaker",11,"Low",3,"Cat_6","A"
244,"Male","No",38,"Yes","Artist",8,"Low",3,"Cat_2","A"
245,"Male","Yes",18,"No","Executive",0,"High",4,"Cat_6","A"
246,"Male","Yes",50,"Yes","Artist",6,"Average",3,"Cat_6","C"
247,"Female","No",46,"Yes","Doctor",1,"Low",3,"Cat_3","A"
248,"Female","Yes",72,"No","Lawyer",1,"High",3,"Cat_6","D"
249,"Female","No",33,"No","Engineer",3,"Low",4,"Cat_6","C"
250,"Female","No",25,"No","Homemaker",1,"Low",7,"Cat_4","B"
251,"Female","Yes",75,"No","Entertainment",2,"High",2,"Cat_2","D"
252,"Male","No",72,"Yes","Artist",1,"Low",1,"Cat_6","B"
253,"Female","Yes",72,"Yes","Artist",0,"Average",3,"Cat_4","C"
254,"Male","Yes",36,"Yes","Entertainment",6,"Low",6,"Cat_4","A"
255,"Male","Yes",40,"Yes","Artist",1,"Low",2,"Cat_6","A"
256,"Female","No",28,"Yes","Entertainment",0,"Low",4,"Cat_6","C"
257,"Female","No",28,"Yes","Doctor",0,"Low",3,"Cat_6","D"
258,"Male","Yes",43,"Yes","Artist",0,"Low",2,"Cat_4","B"
259,"Female","Yes",35,"Yes","Artist",1,"Average",2,"Cat_6","B"
260,"Male","Yes",65,"Yes","Lawyer",1,"High",2,"Cat_6","B"
261,"Male","Yes",52,"Yes","Executive",7,"High",4,"Cat_4","C"
262,"Female","No",40,"Yes","Artist",1,"Low",1,"Cat_6","B"
263,"Female","Yes",69,"No","Engineer",9,"Low",3,"Cat_6","A"
264,"Female","No",22,"No","Healthcare",3,"Low",3,"Cat_6","D"
265,"Male","Yes",47,"Yes","Executive",1,"Average",4,"Cat_6","C"
266,"Male","Yes",29,"Yes","Marketing",1,"High",2,"Cat_3","A"
267,"Male","Yes",46,"Yes","Artist",1,"Average",3,"Cat_3","C"
268,"Male","No",32,"Yes","Artist",1,"Low",2,"Cat_6","A"
269,"Female","No",38,"Yes","Healthcare",0,"Low",1,"Cat_2","C"
270,"Male","Yes",59,"Yes","Artist",0,"Low",1,"Cat_6","B"
271,"Female","No",26,"Yes","Entertainment",1,"Low",1,"Cat_6","D"
272,"Male","No",26,"Yes","Healthcare",1,"Low",2,"Cat_3","A"
273,"Male","No",28,"No","Marketing",0,"Low",1,"Cat_3","D"
274,"Female","Yes",53,"Yes","Engineer",1,"Average",3,"Cat_6","C"
275,"Male","No",27,"No","Doctor",1,"Low",3,"Cat_6","D"
276,"Female","No",32,"No","Artist",3,"Low",8,"Cat_6","C"
277,"Male","No",26,"No","Engineer",0,"Low",4,"Cat_4","D"
278,"Female","No",31,"No","Entertainment",0,"Low",2,"Cat_6","D"
279,"Male","Yes",39,"Yes","Executive",1,"High",3,"Cat_3","B"
280,"Female","Yes",43,"No","Engineer",1,"Low",3,"Cat_7","A"
281,"Male","Yes",25,"No","Doctor",1,"Low",2,"Cat_1","A"
282,"Male","Yes",40,"Yes","Artist",3,"High",3,"Cat_6","A"
283,"Female","Yes",40,"Yes","Entertainment",7,"Average",2,"Cat_3","B"
284,"Male","Yes",63,"Yes","Entertainment",3,"Average",3,"Cat_6","C"
285,"Female","Yes",27,"Yes","Healthcare",3,"Low",2,"Cat_6","D"
286,"Male","No",27,"Yes","Healthcare",1,"Low",3,"Cat_6","D"
287,"Female","No",19,"No","Healthcare",1,"Low",2,"Cat_6","D"
288,"Female","Yes",86,"Yes","Lawyer",0,"High",2,"Cat_6","B"
289,"Male","Yes",41,"Yes","Marketing",3,"High",2,"Cat_6","B"
290,"Female","Yes",27,"Yes","Artist",4,"Average",2,"Cat_3","C"
291,"Female","Yes",70,"No","Doctor",0,"Average",2,"Cat_6","B"
292,"Female","Yes",53,"No","Engineer",8,"Average",4,"Cat_4","B"
293,"Female","Yes",49,"No","Engineer",3,"Average",4,"Cat_4","B"
294,"Male","Yes",55,"No","Executive",3,"Low",3,"Cat_4","D"
295,"Male","Yes",83,"No","Lawyer",3,"Low",1,"Cat_4","B"
296,"Male","Yes",43,"No","Executive",0,"High",4,"Cat_6","A"
297,"Male","Yes",36,"No","Doctor",6,"Low",3,"Cat_6","A"
298,"Male","Yes",74,"Yes","Lawyer",0,"Low",2,"Cat_6","C"
299,"Female","No",30,"No","Homemaker",0,"Low",4,"Cat_6","D"
300,"Female","No",37,"Yes","Artist",5,"Low",2,"Cat_6","B"
301,"Female","No",22,"No","Marketing",0,"Low",1,"Cat_5","B"
302,"Male","No",19,"No","Healthcare",0,"Low",4,"Cat_6","D"
303,"Male","Yes",70,"Yes","Engineer",4,"High",2,"Cat_6","B"
304,"Male","Yes",89,"Yes","Lawyer",13,"Low",1,"Cat_6","A"
305,"Male","No",18,"No","Healthcare",3,"Low",4,"Cat_6","D"
306,"Male","No",25,"Yes","Doctor",6,"Low",1,"Cat_2","D"
307,"Female","No",45,"Yes","Artist",4,"Low",1,"Cat_3","A"
308,"Female","No",35,"Yes","Artist",3,"Low",1,"Cat_4","A"
309,"Female","Yes",37,"No","Engineer",7,"Low",1,"Cat_4","D"
310,"Female","Yes",39,"No","Engineer",4,"Average",2,"Cat_6","B"
311,"Female","No",32,"Yes","Healthcare",1,"Low",5,"Cat_4","D"
312,"Female","Yes",62,"Yes","Artist",2,"Average",3,"Cat_6","C"
313,"Female","Yes",58,"Yes","Engineer",0,"Average",4,"Cat_4","B"
314,"Female","No",32,"No","Engineer",3,"Low",4,"Cat_6","C"
315,"Male","No",25,"No","Healthcare",0,"Low",5,"Cat_6","C"
316,"Female","Yes",56,"Yes","Artist",0,"Average",4,"Cat_6","C"
317,"Female","No",36,"Yes","Entertainment",10,"Low",2,"Cat_6","A"
318,"Female","No",30,"No","Healthcare",8,"Low",3,"Cat_6","A"
319,"Male","No",19,"No","Healthcare",1,"Low",5,"Cat_6","D"
320,"Male","No",27,"Yes","Healthcare",0,"Low",2,"Cat_6","A"
321,"Female","No",38,"Yes","Doctor",14,"Low",1,"Cat_6","A"
322,"Male","Yes",46,"Yes","Artist",8,"Average",2,"Cat_6","C"
323,"Male","No",29,"Yes","Artist",3,"Low",1,"Cat_6","B"
324,"Male","Yes",51,"No","Entertainment",1,"Average",4,"Cat_7","B"
325,"Male","Yes",55,"No","Artist",0,"Low",1,"Cat_6","A"
326,"Female","Yes",69,"Yes","Engineer",1,"Low",1,"Cat_3","A"
327,"Female","No",26,"No","Healthcare",1,"Low",8,"Cat_7","C"
328,"Female","Yes",83,"Yes","Lawyer",0,"Low",3,"Cat_6","A"
329,"Female","No",39,"Yes","Healthcare",9,"Low",1,"Cat_6","D"
330,"Male","Yes",35,"Yes","Artist",9,"Low",1,"Cat_6","A"
331,"Male","Yes",19,"No","Marketing",2,"High",5,"Cat_6","C"
332,"Female","Yes",60,"Yes","Artist",3,"High",4,"Cat_6","C"
333,"Male","Yes",35,"Yes","Artist",3,"Average",4,"Cat_6","C"
334,"Female","No",53,"Yes","Engineer",3,"Low",1,"Cat_6","B"
335,"Female","Yes",86,"No","Lawyer",3,"Low",3,"Cat_6","B"
336,"Female","No",29,"No","Healthcare",1,"Low",3,"Cat_6","B"
337,"Female","No",26,"No","Doctor",0,"Low",1,"Cat_6","D"
338,"Male","No",36,"Yes","Engineer",8,"Low",1,"Cat_6","A"
339,"Female","No",22,"No","Homemaker",0,"Low",4,"Cat_6","D"
340,"Male","No",19,"No","Marketing",0,"Low",5,"Cat_6","A"
341,"Female","Yes",20,"Yes","Lawyer",1,"Average",3,"Cat_3","A"
342,"Male","No",43,"Yes","Healthcare",3,"Low",3,"Cat_6","D"
343,"Female","No",42,"Yes","Artist",3,"Low",3,"Cat_6","A"
344,"Male","No",43,"Yes","Entertainment",1,"Low",2,"Cat_4","A"
345,"Female","Yes",50,"Yes","Engineer",4,"High",3,"Cat_6","B"
346,"Male","No",25,"Yes","Entertainment",1,"Low",2,"Cat_6","A"
347,"Male","Yes",61,"No","Artist",1,"High",2,"Cat_6","B"
348,"Female","Yes",28,"Yes","Healthcare",0,"Average",2,"Cat_6","A"
349,"Male","No",38,"Yes","Artist",1,"Low",1,"Cat_6","D"
350,"Male","No",25,"No","Executive",12,"Low",3,"Cat_6","A"
351,"Female","No",18,"No","Healthcare",9,"Low",5,"Cat_4","D"
352,"Male","Yes",43,"Yes","Entertainment",1,"Average",5,"Cat_5","C"
353,"Female","No",27,"Yes","Artist",8,"Low",1,"Cat_6","B"
354,"Female","No",60,"Yes","Entertainment",1,"Low",2,"Cat_6","D"
355,"Male","Yes",75,"Yes","Lawyer",2,"Low",1,"Cat_6","D"
356,"Female","No",31,"No","Doctor",3,"Low",4,"Cat_6","D"
357,"Male","No",23,"No","Doctor",6,"Low",4,"Cat_2","D"
358,"Male","No",36,"Yes","Artist",8,"Low",1,"Cat_6","A"
359,"Male","No",30,"No","Doctor",1,"Low",1,"Cat_3","C"
360,"Male","Yes",56,"No","Artist",1,"Average",2,"Cat_6","C"
361,"Female","Yes",52,"Yes","Artist",2,"Low",2,"Cat_6","C"
362,"Male","Yes",39,"Yes","Entertainment",0,"Low",1,"Cat_6","D"
363,"Female","No",35,"No","Artist",5,"Low",1,"Cat_6","A"
